edge,direction,combo,short,org_from,state_from,org_to,state_to,n_targets,n_grow,n_shrink,n_esmos,Pr_feasible,n_state_pairs,mean_support,min_support,max_support,time_s
Tribe-Chief,up,pp,TriP->ChfP,Tribe,peace,Chief,peace,7,3,4,975,1.0,1,5.92,4,8,69.2
Tribe-Chief,up,pc,TriP->ChfC,Tribe,peace,Chief,conflict,8,5,3,1307,1.0,1,6.84,5,9,99.6
Tribe-Chief,up,cp,TriC->ChfP,Tribe,conflict,Chief,peace,8,5,3,1079,1.0,1,7.36,5,9,86.7
Tribe-Chief,up,cc,TriC->ChfC,Tribe,conflict,Chief,conflict,7,3,4,1184,1.0,1,6.2,4,8,102.5
Tribe-Chief,down,pp,ChfP->TriP,Chief,peace,Tribe,peace,7,4,3,837,1.0,1,5.9,4,8,70.8
Tribe-Chief,down,pc,ChfP->TriC,Chief,peace,Tribe,conflict,8,3,5,1843,1.0,1,6.33,5,9,146.7
Tribe-Chief,down,cp,ChfC->TriP,Chief,conflict,Tribe,peace,8,3,5,1083,1.0,1,6.88,6,9,103.4
Tribe-Chief,down,cc,ChfC->TriC,Chief,conflict,Tribe,conflict,7,4,3,1336,1.0,1,5.62,4,8,1985.0
Tribe-State,up,pp,TriP->StaP,Tribe,peace,State,peace,9,4,5,631,1.0,1,7.64,6,10,126.0
Tribe-State,up,pc,TriP->StaC,Tribe,peace,State,conflict,8,5,3,595,1.0,1,7.28,6,9,120.7
Tribe-State,up,cp,TriC->StaP,Tribe,conflict,State,peace,9,6,3,521,1.0,1,8.24,6,10,108.9
Tribe-State,up,cc,TriC->StaC,Tribe,conflict,State,conflict,8,4,4,380,1.0,1,7.01,5,9,75.7
Tribe-State,down,pp,StaP->TriP,State,peace,Tribe,peace,9,5,4,1214,1.0,1,6.71,5,10,219.7
Tribe-State,down,pc,StaP->TriC,State,peace,Tribe,conflict,9,3,6,1666,1.0,1,6.43,5,10,300.9
Tribe-State,down,cp,StaC->TriP,State,conflict,Tribe,peace,8,3,5,966,1.0,1,6.77,5,9,182.7
Tribe-State,down,cc,StaC->TriC,State,conflict,Tribe,conflict,8,4,4,1145,1.0,1,5.81,4,9,222.1
Chief-ChiefState,up,pp,ChfP->CfSP,Chief,peace,ChiefState,peace,10,4,6,763,1.0,1,8.78,7,10,156.5
Chief-ChiefState,up,pc,ChfP->CfSC,Chief,peace,ChiefState,conflict,10,4,6,1547,1.0,1,8.45,6,10,270.8
Chief-ChiefState,up,cp,ChfC->CfSP,Chief,conflict,ChiefState,peace,11,8,3,575,1.0,1,10.33,8,12,366.6
Chief-ChiefState,up,cc,ChfC->CfSC,Chief,conflict,ChiefState,conflict,11,4,7,1628,1.0,1,8.95,7,11,271.3
Chief-ChiefState,down,pp,CfSP->ChfP,ChiefState,peace,Chief,peace,10,6,4,1274,1.0,1,7.52,5,10,226.9
Chief-ChiefState,down,pc,CfSP->ChfC,ChiefState,peace,Chief,conflict,11,3,8,1778,1.0,1,8.22,6,12,298.5
Chief-ChiefState,down,cp,CfSC->ChfP,ChiefState,conflict,Chief,peace,10,6,4,577,1.0,1,6.89,5,9,114.1
Chief-ChiefState,down,cc,CfSC->ChfC,ChiefState,conflict,Chief,conflict,11,7,4,991,1.0,1,7.66,6,11,2088.8
State-ChiefState,up,pp,StaP->CfSP,State,peace,ChiefState,peace,9,4,5,605,1.0,1,6.41,5,9,50.9
State-ChiefState,up,pc,StaP->CfSC,State,peace,ChiefState,conflict,11,5,6,1358,1.0,1,7.46,6,11,95.0
State-ChiefState,up,cp,StaC->CfSP,State,conflict,ChiefState,peace,12,9,3,939,1.0,1,10.57,8,12,58.7
State-ChiefState,up,cc,StaC->CfSC,State,conflict,ChiefState,conflict,9,4,5,1201,1.0,1,6.53,5,9,105.5
State-ChiefState,down,pp,CfSP->StaP,ChiefState,peace,State,peace,9,5,4,1226,1.0,1,7.47,6,10,111.6
State-ChiefState,down,pc,CfSP->StaC,ChiefState,peace,State,conflict,12,3,9,2153,1.0,1,7.89,6,11,161.2
State-ChiefState,down,cp,CfSC->StaP,ChiefState,conflict,State,peace,11,6,5,1060,1.0,1,9.36,7,11,117.6
State-ChiefState,down,cc,CfSC->StaC,ChiefState,conflict,State,conflict,9,5,4,811,1.0,1,7.56,5,10,64.0
